HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459588.95266,2022-01-09.4480701,bB,1.76,17.714,>17.714,99.990,0.040,0.060,g
2459588.95392,2022-01-09.4493329,bB,1.76,17.903,>17.903,99.990,0.171,0.050,g
2459588.96674,2022-01-09.4621549,bB,1.73,17.813,>17.813,99.990,0.181,0.054,g
2459588.96801,2022-01-09.4634223,bB,1.77,17.809,>17.809,99.990,0.161,0.055,g
2459588.96928,2022-01-09.4646960,bB,1.75,17.723,>17.723,99.990,0.058,0.059,g
2459591.91714,2022-01-12.4124218,br,1.46,16.936,>16.936,99.990,0.393,0.122,g
2459591.91839,2022-01-12.4136682,br,1.53,17.103,>17.103,99.990,0.135,0.105,g
2459591.91964,2022-01-12.4149194,br,1.55,17.196,>17.196,99.990,0.269,0.096,g
2459593.73517,2022-01-14.2303745,br,1.53,16.202,>16.202,99.990,0.589,0.240,g
2459593.73642,2022-01-14.2316209,br,1.50,16.275,>16.275,99.990,-0.114,0.225,g
2459593.73767,2022-01-14.2328753,br,1.53,16.291,>16.291,99.990,0.199,0.221,g
2459595.89058,2022-01-16.3857099,bB,2.00,16.251,>16.251,99.990,0.048,0.229,g
2459595.89186,2022-01-16.3869798,bB,1.99,16.276,>16.276,99.990,0.165,0.224,g
2459595.89312,2022-01-16.3882425,bB,2.04,16.229,>16.229,99.990,-0.736,0.234,g
2459597.79873,2022-01-18.2937947,br,1.86,15.784,>15.784,99.990,-0.476,0.353,g
2459597.79999,2022-01-18.2950416,br,1.95,15.695,>15.695,99.990,0.961,0.383,g
2459601.98081,2022-01-22.4757449,bB,2.17,16.807,>16.807,99.990,0.231,0.137,g
2459601.98207,2022-01-22.4770040,bB,2.17,16.674,>16.674,99.990,0.126,0.155,g
2459601.98334,2022-01-22.4782715,bB,2.15,16.832,>16.832,99.990,-0.054,0.134,g
2459602.01152,2022-01-22.5064540,bB,2.06,16.873,>16.873,99.990,-0.021,0.129,g
2459602.01279,2022-01-22.5077172,bB,2.04,16.811,>16.811,99.990,0.277,0.137,g
2459602.01405,2022-01-22.5089800,bB,2.07,16.755,>16.755,99.990,0.144,0.144,g
2459603.94320,2022-01-24.4380930,bB,2.00,17.402,>17.402,99.990,0.135,0.079,g
2459603.94447,2022-01-24.4393571,bB,1.71,17.262,>17.262,99.990,0.189,0.090,g
2459603.94573,2022-01-24.4406211,bB,2.01,17.293,>17.293,99.990,0.083,0.088,g
2459604.86162,2022-01-25.3564870,br,1.38,17.209,>17.209,99.990,0.031,0.095,g
2459604.86286,2022-01-25.3577275,br,1.41,17.252,>17.252,99.990,0.107,0.091,g
2459604.86412,2022-01-25.3589774,br,1.41,17.248,>17.248,99.990,-0.165,0.092,g
2459606.89219,2022-01-27.3870106,bB,1.75,17.707,>17.707,99.990,-0.025,0.060,g
2459606.89346,2022-01-27.3882841,bB,1.75,17.824,>17.824,99.990,0.221,0.054,g
2459606.89473,2022-01-27.3895517,bB,1.76,17.692,>17.692,99.990,0.033,0.061,g
2459607.75533,2022-01-28.2501332,br,1.62,17.264,>17.264,99.990,0.048,0.090,g
2459607.75657,2022-01-28.2513714,br,1.55,17.396,>17.396,99.990,0.153,0.080,g
2459607.75781,2022-01-28.2526143,br,1.52,17.355,>17.355,99.990,-0.036,0.083,g
2459608.81928,2022-01-29.3140646,br,1.45,17.425,>17.425,99.990,0.092,0.078,g
2459608.82054,2022-01-29.3153312,br,1.46,17.497,>17.497,99.990,0.213,0.073,g
2459608.82177,2022-01-29.3165555,br,1.46,17.561,>17.561,99.990,0.261,0.069,g
2459609.98171,2022-01-30.4764818,br,1.43,17.437,>17.437,99.990,0.112,0.077,g
2459609.98294,2022-01-30.4777212,br,1.44,17.364,>17.364,99.990,0.089,0.082,g
2459609.98419,2022-01-30.4789646,br,1.46,17.433,>17.433,99.990,0.019,0.077,g
2459615.01832,2022-02-04.5130493,bB,1.99,17.682,>17.682,99.990,0.289,0.061,g
2459615.01958,2022-02-04.5143133,bB,1.99,17.780,>17.780,99.990,0.143,0.056,g
2459615.02085,2022-02-04.5155762,bB,1.75,17.723,>17.723,99.990,0.057,0.059,g
2459617.85146,2022-02-07.3461708,bB,2.09,17.491,>17.491,99.990,0.058,0.073,g
2459617.85273,2022-02-07.34745,bB,2.04,17.529,>17.529,99.990,0.075,0.071,g
2459617.85400,2022-02-07.3487060,bB,2.01,17.385,>17.385,99.990,0.277,0.081,g
2459617.90532,2022-02-07.4000317,bB,2.06,17.606,>17.606,99.990,0.233,0.066,g
2459617.90657,2022-02-07.4012805,bB,2.04,17.812,>17.812,99.990,0.144,0.055,g
2459617.90783,2022-02-07.4025493,bB,2.06,17.677,>17.677,99.990,0.090,0.062,g
2459619.85812,2022-02-09.3528373,bB,2.07,17.204,>17.204,99.990,0.224,0.095,g
2459619.85939,2022-02-09.3541087,bB,2.07,17.153,>17.153,99.990,0.139,0.100,g
2459619.86065,2022-02-09.3553646,bB,2.07,17.137,>17.137,99.990,0.205,0.101,g
2459619.90430,2022-02-09.3990096,bB,2.07,17.334,>17.334,99.990,0.187,0.085,g
2459619.90554,2022-02-09.4002596,bB,2.08,17.344,>17.344,99.990,-0.014,0.084,g
