HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459350.89200,2021-05-16.3883611,bB,2.23,19.064,>19.064,99.990,-0.051,0.017,g
2459351.84347,2021-05-17.3398164,bB,2.01,19.078,>19.078,99.990,-0.033,0.017,g
2459353.89346,2021-05-19.3897620,br,1.41,18.727,>18.727,99.990,0.006,0.023,g
2459356.01160,2021-05-21.5078650,bB,2.01,18.838,>18.838,99.990,-0.034,0.021,g
2459357.83251,2021-05-23.3287534,bB,1.73,18.168,>18.168,99.990,0.024,0.039,g
2459362.78876,2021-05-28.2849371,bB,2.02,18.249,>18.249,99.990,-0.065,0.036,g
2459365.78222,2021-05-31.2783769,bB,2.04,18.916,>18.916,99.990,-0.068,0.020,g
2459367.83655,2021-06-02.3327064,bB,2.01,18.982,>18.982,99.990,-0.043,0.019,g
2459368.76667,2021-06-03.2628170,bj,1.55,18.218,>18.218,99.990,-0.025,0.037,g
2459368.84858,2021-06-03.3447309,br,1.43,18.474,>18.474,99.990,0.016,0.030,g
2459369.79809,2021-06-04.2942344,br,1.43,18.752,>18.752,99.990,0.020,0.023,g
2459369.82359,2021-06-04.3197372,bj,1.59,18.097,>18.097,99.990,-0.027,0.042,g
2459370.92674,2021-06-05.4228807,br,1.44,18.697,>18.697,99.990,0.030,0.024,g
2459371.88263,2021-06-06.3787781,bB,2.18,19.501,>19.501,99.990,-0.005,0.012,g
2459372.63469,2021-06-07.1308337,bj,1.56,18.623,>18.623,99.990,-0.125,0.026,g
2459373.82794,2021-06-08.3240870,bF,1.57,18.394,>18.394,99.990,0.010,0.032,g
2459373.85823,2021-06-08.3543740,br,1.43,18.726,>18.726,99.990,-0.108,0.023,g
2459375.91482,2021-06-10.4109712,bB,2.17,19.506,>19.506,99.990,-0.034,0.011,g
2459376.82001,2021-06-11.3161709,bF,1.58,18.227,>18.227,99.990,0.020,0.037,g
2459379.04100,2021-06-13.5371839,bB,2.33,19.038,>19.038,99.990,-0.057,0.018,g
2459379.62264,2021-06-14.1188241,bF,1.48,18.343,>18.343,99.990,-0.025,0.033,g
2459379.91858,2021-06-14.4147597,br,1.44,18.331,>18.331,99.990,-0.041,0.034,g
2459380.69671,2021-06-15.1929091,bF,1.55,18.291,>18.291,99.990,0.071,0.035,g
2459382.95243,2021-06-17.4486493,bB,2.11,19.330,>19.330,99.990,-0.046,0.013,g
2459385.37196,2021-06-19.8682143,bn,1.48,17.712,>17.712,99.990,-0.064,0.060,g
2459386.59965,2021-06-21.0959261,bj,1.56,17.352,>17.352,99.990,0.197,0.083,g
2459392.90552,2021-06-27.4019182,bB,2.00,17.980,>17.980,99.990,-0.090,0.047,g
2459395.66228,2021-06-30.1587482,bF,1.60,17.842,>17.842,99.990,0.037,0.053,g
2459397.99872,2021-07-02.4952469,bB,2.36,18.576,>18.576,99.990,-0.034,0.027,g
2459399.86926,2021-07-04.3658422,bB,2.16,19.101,>19.101,99.990,-0.062,0.017,g
2459406.30031,2021-07-10.7971177,bn,1.53,18.296,>18.296,99.990,0.003,0.035,g
2459407.29283,2021-07-11.7896577,bn,1.72,18.197,>18.197,99.990,-0.014,0.038,g
2459408.71727,2021-07-13.2141565,bj,1.61,18.219,>18.219,99.990,-0.042,0.037,g
2459410.38649,2021-07-14.8834390,bn,1.60,18.508,>18.508,99.990,0.016,0.029,g
2459410.59833,2021-07-15.0952864,bF,1.50,18.547,>18.547,99.990,0.011,0.028,g
2459410.63047,2021-07-15.1274230,bj,1.64,18.221,>18.221,99.990,-0.054,0.037,g
2459411.94161,2021-07-16.4386276,bB,2.07,19.137,>19.137,99.990,-0.062,0.016,g
2459413.80507,2021-07-18.3021560,bB,2.01,18.475,>18.475,99.990,-0.060,0.030,g
2459414.69594,2021-07-19.1930612,bj,1.57,17.133,>17.133,99.990,-0.037,0.102,g
2459416.58711,2021-07-21.0843172,bj,1.70,17.139,>17.139,99.990,0.152,0.101,g
2459423.38890,2021-07-27.8864346,bn,1.65,16.445,>16.445,99.990,0.265,0.192,g
2459424.81949,2021-07-29.3170944,br,1.64,17.772,>17.772,99.990,0.173,0.057,g
2459426.38300,2021-07-30.8806878,bn,1.67,18.432,>18.432,99.990,0.056,0.031,g
2459427.88182,2021-08-01.3795826,bB,2.28,19.014,>19.014,99.990,-0.049,0.018,g
2459430.38187,2021-08-03.8797655,bn,1.63,18.564,>18.564,99.990,0.080,0.027,g
2459431.71820,2021-08-05.2161658,br,1.39,18.578,>18.578,99.990,0.049,0.027,g
2459432.65266,2021-08-06.1506828,bj,1.57,18.086,>18.086,99.990,0.055,0.042,g
2459433.80879,2021-08-07.3068733,bB,1.99,19.138,>19.138,99.990,-0.037,0.016,g
2459434.76399,2021-08-08.2621300,br,1.49,18.568,>18.568,99.990,-0.013,0.027,g
2459435.85224,2021-08-09.3504524,bB,2.00,19.355,>19.355,99.990,-0.000,0.013,g
2459437.26038,2021-08-10.7586709,bn,1.73,18.194,>18.194,99.990,0.108,0.038,g
2459438.56636,2021-08-12.0647245,bF,1.53,18.272,>18.272,99.990,-0.085,0.036,g
2459440.81631,2021-08-14.3148078,bB,2.00,18.850,>18.850,99.990,-0.037,0.021,g
2459442.21755,2021-08-15.7161288,bn,2.48,17.489,>17.489,99.990,-0.205,0.073,g
2459443.84916,2021-08-17.3478427,bB,1.98,18.177,>18.177,99.990,0.050,0.039,g
2459448.25484,2021-08-21.7537951,bn,1.65,16.769,>16.769,99.990,-0.007,0.142,g
2459448.78801,2021-08-22.2869994,bB,2.23,17.200,>17.200,99.990,-0.186,0.096,g
2459450.84455,2021-08-24.3436613,bB,2.02,17.456,>17.456,99.990,0.117,0.076,g
2459451.82431,2021-08-25.3234943,bB,2.03,18.185,>18.185,99.990,-0.075,0.039,g
2459452.71806,2021-08-26.2172907,br,1.43,16.629,>16.629,99.990,0.798,0.162,g
2459453.81941,2021-08-27.3187063,bB,1.99,18.937,>18.937,99.990,-0.056,0.019,g
2459454.71173,2021-08-28.2110893,br,1.43,17.416,>17.416,99.990,0.092,0.078,g
2459455.54500,2021-08-29.0444155,bj,1.63,18.185,>18.185,99.990,-0.033,0.039,g
2459457.25137,2021-08-30.7509008,bn,1.47,18.344,>18.344,99.990,0.054,0.033,g
2459461.56428,2021-09-04.0640938,bF,1.54,18.179,>18.179,99.990,0.035,0.039,g
2459462.57035,2021-09-05.0702252,bj,1.64,18.015,>18.015,99.990,-0.008,0.045,g
2459464.23211,2021-09-06.7320853,bn,1.64,18.211,>18.211,99.990,-0.005,0.038,g
2459464.51468,2021-09-07.0146729,bF,1.52,18.141,>18.141,99.990,-0.091,0.040,g
2459464.54710,2021-09-07.0470894,bj,1.61,17.952,>17.952,99.990,0.067,0.048,g
