 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 35 596 6 1 ZTF_g 1302433192115 0 1.9171 108.016 4.29638 26.2802 1.93956e-05 0.0631476 -0.160367 3.55013e-05 1347 30. 0.177435 0.044366 20.8809 26.2802 1 2459056.9331944 596120121 -105.121836524008 25.8564334981282 -4.52250567326901 1.68176396479041 -279.990393886675 49.1283380167832 -5.73754693680925 1.0456770900712 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 36 596 6 1 ZTF_r 1303361892115 0 1.6181 170.137 5.10963 26.3015 6.9536e-06 0.0379821 0.086507 1.2586e-05 1360 30. 0.139533 0.05231 20.8262 26.3015 1 2459057.8618981 596120221 -68.5898391874705 30.6134055022918 -2.49231505899947 2.09853772079641 -215.598988842986 60.2293836220656 -3.60374035702058 1.03422569838964 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 37 596 6 1 ZTF_r 1303371892115 0 1.6439 170.545 4.99907 26.3049 7.1772e-06 0.0383834 0.0845976 1.30366e-05 1349 30. 0.141991 0.053232 20.8302 26.3049 1 2459057.8718981 596120221 -75.5446815191392 27.4620466907382 -3.06003077710902 2.39159696842424 -435.623324158746 54.2688739613299 -8.08119351477613 1.03582732967206 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 38 596 6 1 ZTF_g 1303399072115 0 2.4071 108.536 4.05507 26.2936 2.12723e-05 0.0664429 -0.164675 3.86101e-05 1358 30. 0.232374 0.048435 20.8018 26.2936 1 2459057.8990741 596120121 -38.2971406349686 30.0454362111064 -1.41789031831961 1.46025352697403 -139.108215703244 52.3965688766056 -2.67279175988395 1.05457397013097 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 39 596 6 1 ZTF_r 1305351372115 0 1.6594 173.202 5.41578 26.3178 5.914e-06 0.0352287 0.0912512 1.06866e-05 1368 30. 0.127682 0.054289 20.7845 26.3178 1 2459059.8513773 596120221 -172.055840607637 28.8868301865672 -6.62558656410839 2.37718262419472 -238.63546559639 55.4765407956958 -4.33052756608953 1.04132771167984 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 40 596 6 1 ZTF_g 1305408342115 0 2.4155 110.66 3.95536 26.3079 2.16053e-05 0.0670859 -0.173308 3.91365e-05 1363 30. 0.238334 0.044135 20.8135 26.3079 1 2459059.9083449 596120121 -45.5754488793291 30.6028515390938 -1.65662366285967 1.68774603871964 -75.7979832021468 52.427169821365 -1.45551413971132 1.06505374309165 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 41 596 6 1 ZTF_g 1306346292115 0 1.7808 108.251 7.71219 26.2949 4.4605e-06 0.0305587 -0.0785957 8.17541e-06 1364 30. 0.064268 0.044845 20.3724 26.2949 1 2459060.8462963 596120121 -167.843743942161 28.5888502037609 -6.53075317710485 1.32420352458101 -163.898138170605 55.8481314229663 -2.95447667373872 1.0409930264302 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 42 596 6 1 ZTF_g 1306381182115 0 1.5997 109.896 4.38815 26.3125 1.82029e-05 0.0606247 -0.154147 3.38124e-05 1328 30. 0.146495 0.052957 20.9607 26.3125 1 2459060.8811806 596120121 -80.2947365090052 23.9683743993889 -3.72651864408202 2.00124558191135 -153.02641697138 47.2132785510088 -3.26300277002796 1.0437908018582 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 43 596 6 1 ZTF_r 1306402152115 0 1.7987 171.49 4.6365 26.2988 8.638e-06 0.0420931 0.0850936 1.5633e-05 1348 30. 0.164743 0.048961 20.8651 26.2988 1 2459060.9021528 596120221 -177.650853678365 30.8149404284336 -6.41299302234086 2.09798809744517 -328.242898808972 58.6538056085619 -5.63396748410879 1.03853326038046 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 44 596 6 1 ZTF_r 1306416702115 0 1.6133 170.984 4.71948 26.3063 7.7396e-06 0.0401162 0.0871895 1.39871e-05 1360 30. 0.143705 0.054884 20.8972 26.3063 1 2459060.9167014 596120221 -108.287565261363 30.37334553444 -3.9658908694349 2.16324197722618 -395.300706374285 60.2902832792588 -6.60078304047733 1.03308648295227 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 45 596 6 1 ZTF_r 1307304542115 0 1.4417 167.215 9.8474 26.2952 2.4042e-06 0.0223159 0.0975804 4.3076e-06 1362 30. 0.057782 0.064469 20.2336 26.2952 1 2459061.8045486 596120221 -42.5809790224282 39.7719979001236 -1.19094864819857 1.60930037451199 -317.511973434766 82.4368034354742 -3.87752097998404 1.02811297178737 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 46 596 6 1 ZTF_g 1308384462115 0 1.902 107.793 11.4554 26.2983 4.9035e-06 0.0309593 -0.0530048 9.57363e-06 1296 30. 0.049916 0.046834 19.8907 26.2983 1 2459062.8844676 596120121 79.2990464447894 47.2509095556631 1.86686362291292 1.05990838706874 132.396397223205 89.6408541355229 1.48691236670288 1.04454747155135 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 47 596 6 1 ZTF_r 1309329492115 0 2.3385 170.949 12.6691 26.3162 3.5653e-06 0.0271144 0.102645 6.39333e-06 1358 30. 0.051709 0.057775 19.6589 26.3162 1 2459063.8294907 596120221 -673.501753436953 60.5627653838632 -12.3705165419887 1.31129007321605 -373.557191546488 104.716947309423 -3.59133006057648 1.05515041732084 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 48 596 6 1 ZTF_r 1309379082115 0 2.6029 171.075 12.1369 26.3259 3.6473e-06 0.027358 0.104768 6.59709e-06 1347 30. 0.055503 0.052693 19.5836 26.3259 1 2459063.8790856 596120221 102.306909497063 63.288402799664 1.79819021935366 1.08998368724442 69.1102421719289 102.554873922487 0.678424154485288 1.05988976166359 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
