 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 596 6 1 ZTF_r 1333305862115 0 1.5221 148.436 5.9379 26.1627 5.1425e-06 0.0326335 0.0929688 9.18267e-06 1360 30. 0.100405 0.061092 20.6092 26.1627 1 2459087.8058681 596120221 29.3124579151693 28.4502233867563 1.14609695021525 1.78973096527722 -66.3177153195272 57.7515802946461 -1.15606133385717 1.03173178850505 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 30 596 6 1 ZTF_g 1333316962115 0 1.7845 88.5753 4.33981 26.0727 1.95367e-05 0.0634584 -0.150144 3.58822e-05 1346 30. 0.155843 0.049656 20.7406 26.0727 1 2459087.8169676 596120121 -7.77926690920357 22.8394923112497 -0.378884664746365 1.64153243265838 -71.0103578498015 44.5159336402367 -1.60591075710648 1.04197510385583 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 31 596 6 1 ZTF_g 1333353902115 0 1.8181 90.0472 4.358 26.0765 2.06629e-05 0.0650553 -0.149894 3.81637e-05 1343 30. 0.155239 0.043577 20.721 26.0765 1 2459087.8539005 596120121 -84.9758537359085 23.5481561015846 -4.01414846984371 1.65050421274832 -215.587405778995 45.1923537947036 -4.80256904401724 1.04611076253362 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 32 596 6 2 ZTF_g 1334286302215 0 2.007 88.8352 8.07952 26.1182 7.2333e-06 0.0363919 -0.080392 1.40353e-05 1176 30. 0.072299 0.056227 20.0384 26.1182 1 2459088.7863079 596120122 null null null null null null null null null null null null null 2458247.983391 2458283.958692 56,57
 33 596 6 2 ZTF_g 1335283442215 0 2.0283 97.3116 10.2827 26.2339 6.5313e-06 0.0342902 -0.0792092 1.30873e-05 1170 30. 0.058636 0.043979 19.8756 26.2339 1 2459089.7834491 596120122 null null null null null null null null null null null null null 2458247.983391 2458283.958692 57,61
 34 596 6 1 ZTF_g 1336283702115 0 2.2425 99.3181 11.88 26.2121 6.8594e-06 0.0348168 -0.0403889 1.43937e-05 1195 30. 0.056827 0.047715 19.6326 26.2121 1 2459090.7837037 596120121 null null null null null null null null 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 61
 35 596 6 1 ZTF_g 1337302952115 0 2.1937 110.329 11.9714 26.3427 5.2308e-06 0.0307033 -0.0719367 1.08665e-05 1231 30. 0.051575 0.04818 19.7379 26.3427 1 2459091.8029514 596120121 -150.92426277108 54.3184441596956 -3.09076896117194 0.995499067935437 -142.18827829992 97.0448519622963 -1.47504913079443 1.05095838142354 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 36 596 6 1 ZTF_g 1338301642115 0 2.0565 103.958 16.0516 26.2878 8.4883e-06 0.0369157 -0.0461327 1.90315e-05 1122 30. 0.053098 0.051144 19.4278 26.2878 1 2459092.8016435 596120121 -32.4679290112924 72.7003478405864 -0.496790062702023 1.02372246253363 -73.4256572011493 134.131776462978 -0.551101201938831 1.04762193032261 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 37 596 6 1 ZTF_g 1340224812115 1 1.7646 90.8169 29.1329 26.1368 2.02963e-05 0.0415397 -0.0479266 5.40691e-05 732 30. 0.054089 0.053562 18.7482 26.1368 1 2459094.7248148 596120121 -90.4650191691251 118.192003585842 -0.851426936515259 1.12655704671927 -285.491077022428 234.001801139688 -1.22825497262008 1.04128470566717 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 38 596 6 1 ZTF_r 1340322822115 1 1.5017 155.55 27.552 26.1967 8.2005e-06 0.0400433 0.110789 1.46721e-05 1280 30. 0.052767 0.059072 19.0015 26.1967 1 2459094.8228241 596120221 null null null null null null null null 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 61
 39 596 6 1 ZTF_g 1342172482115 0 1.9685 98.0767 13.8603 26.2049 7.1857e-06 0.0350698 -0.0519762 1.56087e-05 1185 30. 0.058605 0.056094 19.5401 26.2049 2 2459096.6724884 596120121 -62.6093202357816 57.905080703532 -1.20275485443193 1.16271431263027 7.41343662367109 110.226366374243 0.0677094491214847 1.04106955320809 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 40 596 6 1 ZTF_i 1342231722115 0 1.4246 390.763 15.6757 26.4815 6.822e-07 0.018189 0.183515 4.00222e-06 1351 60. 0.059198 0.0658 19.9333 26.4815 2 2459096.7317245 596120321 -295.963141240459 55.3819252828477 -5.94462385381568 1.27178258478739 -586.283736734291 118.579733563035 -4.97751490661952 1.02764837445896 0.192043162744014 15.0059997177124 0.0920000001788139 6.04300022125244 0.626999974250793 2458274.858183 2458379.628507 0
 41 596 6 1 ZTF_i 1342254752115 0 1.2986 390.805 15.3737 26.4684 9.855e-07 0.0217498 0.185361 5.89591e-06 1351 60. 0.080032 0.08265 19.9939 26.4684 2 2459096.7547569 596120321 -38.3746236725882 57.2367151718762 -0.745803177033399 1.91810463024692 -60.022876375098 121.327879857709 -0.498048214241961 1.02966949581524 0.192043162744014 15.0059997177124 0.0920000001788139 6.04300022125244 0.626999974250793 2458274.858183 2458379.628507 0
 42 596 6 1 ZTF_r 1342291352115 0 1.6037 166.247 13.8772 26.2891 2.669e-06 0.0234224 0.108511 4.80156e-06 1349 30. 0.056502 0.051 19.8205 26.2891 2 2459096.7913542 596120221 -145.031340756783 55.7390667647059 -2.89438947242435 1.50996744817946 -313.4376601066 112.426550107786 -2.80670962934022 1.03772202217269 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 43 596 6 1 ZTF_r 1342315642115 0 1.5077 165.551 13.8704 26.2956 2.9217e-06 0.0244794 0.10715 5.27036e-06 1348 30. 0.053792 0.056024 19.8539 26.2956 1 2459096.8156481 596120221 -79.4773672093727 48.0363042528991 -1.84046976074184 1.38968176052912 -235.238059076829 99.2555174304915 -2.38598726871741 1.03508382354672 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 44 596 6 1 ZTF_g 1343191332115 0 1.9047 97.3707 11.6931 26.1849 6.4966e-06 0.0344126 -0.0441087 1.34764e-05 1248 30. 0.053429 0.046582 19.7732 26.1849 2 2459097.691331 596120121 -23.2900045237697 47.0594694559745 -0.550525382474405 1.14566868008485 40.7858160374124 88.3933875269068 0.464520163824854 1.04713364853465 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 45 596 6 1 ZTF_r 1343268612115 0 1.7035 161.186 12.912 26.2549 2.7435e-06 0.023866 0.110235 4.92872e-06 1358 30. 0.055315 0.048091 19.8129 26.2549 2 2459097.7686111 596120221 36.4709314648401 52.5011723478606 0.772738686046419 1.23962373952416 -136.192824177459 103.372528512604 -1.3263687428079 1.03919972265223 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 46 596 6 1 ZTF_r 1343291292115 0 2.1788 162.703 12.1847 26.2765 3.3069e-06 0.0262238 0.10798 5.90257e-06 1358 30. 0.054624 0.052736 19.6959 26.2765 1 2459097.7912963 596120221 197.860396204758 60.4413565329252 3.64149294169774 1.02936132153946 48.4722131262761 106.833526422142 0.456773055283254 1.04648170011345 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 47 596 6 1 ZTF_r 1343312292115 0 2.6058 163.018 12.1187 26.279 3.8543e-06 0.0282594 0.111265 6.90182e-06 1354 30. 0.060826 0.053013 19.5618 26.279 1 2459097.8122917 596120221 434.529785764341 67.1240192028621 7.20105950329996 1.12993538425332 275.623170487235 106.360982699345 2.6088467909589 1.06479952140634 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
