HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458459.56598,2018-12-07.0605377,bk,1.49,18.429,17.940,0.139,0.242,0.031,g
2458461.77271,2018-12-09.2672781,bG,1.45,18.113,17.317,0.105,0.430,0.041,g
2458463.54893,2018-12-11.0435040,bG,1.63,18.128,17.067,0.082,0.541,0.041,g
2458464.54164,2018-12-12.0362094,bG,1.61,17.770,16.834,0.092,0.671,0.057,g
2458465.53539,2018-12-13.0299686,bo,1.45,18.183,>18.183,99.990,-0.360,0.039,g
2458465.56440,2018-12-13.0589778,bG,1.44,18.292,>18.292,99.990,0.108,0.035,g
2458466.00542,2018-12-13.4999986,bC,1.57,18.967,>18.967,99.990,-0.014,0.019,g
2458468.58241,2018-12-16.0770184,bG,1.43,17.814,16.980,0.101,0.586,0.054,g
2458468.78465,2018-12-16.2792538,bk,1.57,18.534,>18.534,99.990,-0.072,0.028,g
2458469.53601,2018-12-17.0306240,bG,2.06,17.289,>17.289,99.990,0.289,0.088,g
2458470.54795,2018-12-18.0425861,bo,1.44,17.992,>17.992,99.990,0.020,0.046,g
2458471.53547,2018-12-19.0301331,bG,1.62,17.370,16.503,0.098,0.910,0.082,g
2458476.57549,2018-12-24.0702600,bk,1.45,16.953,>16.953,99.990,-0.064,0.120,g
2458476.87507,2018-12-24.3698509,bs,1.51,17.364,17.157,0.181,0.498,0.082,g
2458477.50822,2018-12-25.0030067,bo,1.48,17.311,>17.311,99.990,-0.255,0.086,g
2458480.61758,2018-12-28.1124707,bk,2.27,18.475,17.791,0.116,0.278,0.030,g
2458481.48853,2018-12-28.9834473,bo,1.51,17.955,17.307,0.120,0.434,0.048,g
2458482.38305,2018-12-29.8780047,bo,1.47,17.836,16.512,0.064,0.903,0.053,g
2458483.61028,2018-12-31.1052734,bk,2.12,18.013,16.607,0.060,0.826,0.045,g
2458484.69837,2019-01-01.1933989,bk,2.49,17.704,16.660,0.084,0.787,0.060,g
2458486.91681,2019-01-03.4119370,bC,1.56,17.878,15.953,0.037,1.510,0.051,g
2458487.62160,2019-01-04.1167582,bk,1.45,17.934,16.192,0.044,1.211,0.049,g
2458488.67001,2019-01-05.1652071,bk,1.45,17.991,16.544,0.057,0.876,0.046,g
2458489.67367,2019-01-06.1689167,bk,1.42,17.866,16.043,0.041,1.390,0.052,g
2458490.66914,2019-01-07.1644376,bk,1.62,17.866,16.129,0.044,1.284,0.052,g
2458491.43276,2019-01-07.9281046,bo,1.43,17.532,15.774,0.043,1.781,0.071,g
2458491.90739,2019-01-08.4027427,bC,1.46,17.494,15.176,0.026,3.087,0.073,g
2458493.82116,2019-01-10.3166149,bC,1.54,17.696,15.547,0.030,2.194,0.061,g
